Term	n	N	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Parkinson disease	35	142	1.53012383578511e-13	4.00892444975699e-11	5.46220867276392	161.180260244247	NDUFB9;NDUFB8;NDUFB10;UQCRB;UBA7;NDUFA12;NDUFB11;COX4I1;ATP5MC2;NDUFB2;COX5A;ATP5F1A;ATP5F1B;UBB;UQCRFS1;NDUFV2;PRKACB;ATP5PF;ATP5PD;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1C;NDUFS8;NDUFS5;NDUFAB1;VDAC3;NDUFS3;VDAC2;VDAC1;SLC25A5;SLC25A6
Oxidative phosphorylation	33	133	6.19055351064137e-13	6.78144060607962e-11	5.50283807829182	154.687979415194	NDUFB9;NDUFB8;NDUFB10;UQCRB;NDUFA12;NDUFB11;COX4I1;ATP5MC2;NDUFB2;COX5A;ATP5F1A;ATP5F1B;UQCRFS1;NDUFV2;ATP5MG;ATP5ME;ATP5PF;ATP6V1G1;ATP6V0E1;ATP5PD;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1C;NDUFS8;NDUFS5;NDUFAB1;NDUFS3;ATP6V0D1;ATP6V0C
Spliceosome	33	134	7.76500832757209e-13	6.78144060607962e-11	5.44806384553046	151.913696115357	RBM25;EIF4A3;SRSF1;DDX42;SNU13;PRPF8;SNRPD2;ZMAT2;PUF60;SNRNP70;TRA2B;TRA2A;DHX15;DHX16;BCAS2;HSPA8;CCDC12;THOC1;CWC15;U2SURP;LSM2;SYF2;PRPF3;SNRPG;SNRPA1;SNRPF;HNRNPC;SRSF6;SNRNP200;SLU7;RBMX;SRSF8;RBM22
Huntington disease	39	193	5.5336753970134e-12	3.62455738504378e-10	4.23338870431894	109.730150203157	NDUFB9;NDUFB8;NDUFB10;UQCRB;NDUFA12;NDUFB11;HDAC1;COX4I1;ATP5MC2;NDUFB2;COX5A;ATP5F1A;ATP5F1B;CASP8;POLR2A;SIN3A;UQCRFS1;NDUFV2;ATP5PF;ATP5PD;POLR2J2;NDUFA5;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6C;ATP5F1C;SOD1;NDUFS8;NDUFS5;NDUFAB1;VDAC3;NDUFS3;TFAM;VDAC2;VDAC1;SLC25A5;SLC25A6
Ribosome	33	153	3.793525865266e-11	1.98780755339939e-09	4.58080516014235	109.917061720574	RPL4;RPL32;RPL10;MRPS12;RPL10A;RPS15;RPS17;RPS16;RPS19;RPL36AL;RPL35;RPL13;RPL38;RPL37;MRPL9;RPS11;RPS27A;RPL39;RPL17;RPL19;RPS7;RPS5;RPL22;RPL35A;MRPS6;RPS26;RPS28;RPL37A;RPL27;FAU;RPL29;UBA52;RSL24D1
Alzheimer disease	33	171	8.26971343223493e-10	3.61110819874259e-08	3.97947934395791	83.2238506599627	NDUFB9;NDUFB8;NDUFB10;UQCRB;NDUFA12;NDUFB11;COX4I1;ATP5MC2;NDUFB2;ATP2A2;TNF;COX5A;RTN4;ATP5F1A;CASP8;ATP5F1B;UQCRFS1;NDUFV2;ATP5PF;ATP5PD;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1C;NDUFS8;NDUFS5;NDUFAB1;NDUFS3;FAS;CALM1
Proteasome	15	45	1.65761836022916e-08	6.20422871971485e-07	8.23686514886165	147.565901095856	PSMD12;PSMB10;PSMB8;PSMB6;SEM1;PSMB7;PSMA6;PSMC5;PSMA3;PSMB2;PSMC3;PSMA1;PSMC1;PSMB1;PSME4
Thermogenesis	36	231	5.38050105016979e-08	1.76211409393061e-06	3.07110409661703	51.4038309312175	NDUFB9;NDUFB8;NDUFB10;UQCRB;NDUFA12;NDUFB11;COX4I1;ATP5MC2;NDUFB2;COX5A;ACTG1;ATP5F1A;ATP5F1B;UQCRFS1;NDUFV2;PRKACB;ATP5MG;ATP5ME;ATP5PF;ATP5PD;NDUFA5;ATP5PB;NDUFA4;NDUFA2;NDUFA1;ACSL5;COX6C;ATP5F1C;SMARCA2;NDUFS8;RPS6KB1;NDUFS5;NDUFAF5;NDUFAB1;RPS6KB2;NDUFS3
Protein export	10	23	2.31105293828033e-07	6.72773188699386e-06	12.6282610153578	192.964783806442	SEC61A1;SPCS2;SPCS1;SEC61G;SRP54;SRPRB;SRP14;SEC11A;SRP9;SEC11C
Pathogenic Escherichia coli infection	15	55	3.31102859278491e-07	8.67489491309648e-06	6.17436514886165	92.1266944626438	ITGB1;ROCK1;TUBB;ARPC5L;TUBA4A;ACTG1;TUBA1C;TUBA1B;TUBA1A;TUBB2A;YWHAQ;NCL;NCK2;HCLS1;CTNNB1
