EntrezID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
2791	GNG11	-5.81787855412112	6.34646298150787	-27.3157082392266	3.11810823816816e-09	3.9868131933218e-05	9.98318016481496
84519	ACRBP	-4.31833109228142	5.9734627152798	-19.9903118329483	3.73380957887482e-08	0.00020279605257266	8.60123998148242
84281	C2orf88	-3.67392760698619	5.70109463544329	-17.9587889005969	8.70613536354095e-08	0.00020279605257266	8.03378602308328
8436	CAVIN2	-5.12800517516454	6.84054006895458	-17.9523618157356	8.7307338631825e-08	0.00020279605257266	8.03181596813341
81027	TUBB1	-6.62669903956998	7.44235332311208	-17.454274365267	1.0897080426731e-07	0.00020279605257266	7.8754496156666
2815	GP9	-4.69173395811264	5.98511904933096	-17.4524765623626	1.09059203619457e-07	0.00020279605257266	7.87487176409508
2162	F13A1	-4.13020928808255	5.93010271965758	-16.9935919209268	1.3449368289432e-07	0.00020279605257266	7.72408940292391
6622	SNCA	-3.46428629304874	5.58477166163146	-16.8819480397542	1.41646231194441e-07	0.00020279605257266	7.68639194114254
8714	ABCC3	-3.08847639648498	5.44783257388104	-16.8653268857901	1.42747104110272e-07	0.00020279605257266	7.68074497672814
54498	SMOX	-2.58741559148245	5.30423351667248	-15.3269337799883	3.02147274189133e-07	0.000386325504778225	7.11642494805976
4900	NRGN	-5.16535235635023	6.51115768135665	-14.0353426483202	6.0021996119087e-07	0.000622278622414428	6.57103650121973
3580	CXCR2P1	-2.47304989312658	5.21587439018656	-13.8082321565718	6.81328362341799e-07	0.000622278622414428	6.46747443009147
239	ALOX12	-2.50686631457644	5.23754572136987	-13.7332641884776	7.10740973020655e-07	0.000622278622414428	6.43275113051813
3693	ITGB5	-3.24862828887854	6.00557502115551	-13.7276627289462	7.12995056286515e-07	0.000622278622414428	6.43014580884936
84417	ECRG4	-2.65400466451978	5.35536367490319	-13.6443534573643	7.4748181585626e-07	0.000622278622414428	6.39121784439555
51266	CLEC1B	-3.57273505228148	5.66135952345413	-13.5722554334061	7.78839325353374e-07	0.000622278622414428	6.35725499613486
4352	MPL	-3.15141123101475	5.57727478021502	-13.4668474582054	8.27368729942537e-07	0.000622278622414428	6.30713895170267
8654	PDE5A	-2.98677062307316	5.82446152410486	-12.765809527649	1.25102054607448e-06	0.000888641594561573	5.95931859524061
760	CA2	-3.88338365373571	6.16114939121813	-12.6435093340557	1.34745545340356e-06	0.000906766601432524	5.89594603023536
5742	PTGS1	-4.26287219732176	6.01116185042426	-12.4603168078274	1.50785157852115e-06	0.000963969514148569	5.799455552853
340348	TSPAN33	-2.99040437020317	6.25999224665678	-11.5104814735513	2.77056572820213e-06	0.00168687873337107	5.26728251687013
29940	DSE	-2.1098758303558	5.53031061277278	-11.3210223043963	3.14491762127168e-06	0.00182776894116271	5.15433814611479
5473	PPBP	-4.54058434852375	6.19589693738897	-11.185527312029	3.44730809237512e-06	0.00191069857635012	5.07209429037509
5747	PTK2	-2.50203225034254	5.58239263384441	-11.1275619268941	3.5864825459411e-06	0.00191069857635012	5.03652886591064
1026	CDKN1A	-3.11039821050348	6.18660393266554	-10.933797762224	4.09930351992074e-06	0.00209654779222827	4.91595396065373
23531	MMD	-3.09285049435067	8.33386970661228	-10.5993360034038	5.18890190702767e-06	0.00255174229935599	4.70153747102969
25907	TMEM158	-3.52217632729794	5.63496984438547	-10.2475808224304	6.69648045377278e-06	0.00317115552155329	4.46707165067151
7122	CLDN5	-2.16932885785443	5.12496770120911	-10.1275490351171	7.31824548547059e-06	0.00334182452775811	4.38487726760161
157285	PRAG1	-2.35279084977202	6.88853662238071	-9.89270164939077	8.7300004107165e-06	0.00375301335683253	4.22073071841246
8848	TSC22D1	-2.97384375629224	5.6138632008504	-9.88132042272083	8.80575635108525e-06	0.00375301335683253	4.21266182852798
2017	CTTN	-2.68425760079665	5.37199078893298	-9.73840106862397	9.8221676243245e-06	0.00405116887885849	4.11042277797833
56344	CABP5	-2.27031492003343	5.21836765109533	-9.65058787976861	1.05112395548697e-05	0.00419989715464261	4.04675449029043
3674	ITGA2B	-2.54540566443621	5.22784541759408	-9.60353759296663	1.09024998668431e-05	0.00422422313022595	4.01237113773632
7125	TNNC2	-1.76836001920296	4.99986130859431	-9.54844361358755	1.13814231349477e-05	0.00428008459421887	3.97186799975052
83700	JAM3	-2.13038762265779	6.33681020028789	-9.43710995988861	1.24224804242674e-05	0.0043769212067085	3.88921541218543
3690	ITGB3	-2.00269228277976	5.0900808758668	-9.43646175848606	1.24288443157584e-05	0.0043769212067085	3.88873102029034
10217	CTDSPL	-2.76743401699746	5.75386235584945	-9.41257703291008	1.26658911816217e-05	0.0043769212067085	3.87085648494083
171558	PTCRA	-2.73125577238054	5.39509216446231	-9.32702642687489	1.35572161720298e-05	0.00455154379214008	3.80641857143797
56911	MAP3K7CL	-3.94781988984341	7.67617449796893	-9.29729489738816	1.38831697085455e-05	0.00455154379214008	3.78387149730358
