"",EC1,EC2,EC3,EC4,EC5,HAART,AI1,CI,AI2
6352,-0.744812367930673,1.73096167549289,1.52144420238492,1.09847951426737,1.48707090838236,0.67588707177139,0.413354270445607,0.23684649113104,0.372605551215718
8972,0.418471427368845,-3.24355558510179,-1.71193155829889,-0.526191976884713,-0.442359011619066,0.17613224252139,0.411926469493572,0.159907610398942,1.38010151690102
5366,0.267682732158796,1.35767958065415,1.01320390982989,0.790867221882812,0.667182028060091,-0.866180944481453,0.123602275973262,-0.564443159055855,-0.129507230829974
9659,0.923504242692824,-1.24475112278518,-0.826052618683849,0.388703597575483,0.51858282973126,0.334323114807705,0.268722955588716,0.0266853276327916,-0.9371037422641
10135,-0.265840375763916,1.26275889794218,1.37321486488788,0.801233149578767,0.306030413138858,-1.93354276249084,-0.496920216393807,-0.530068758503882,-0.648437683900927
1831,-1.28090996715719,1.47943033281336,1.56472137812055,1.18689062397361,0.816967744191873,-1.24762572336111,0.786711278357217,0.437883092843576,0.467365142803523
8334,-0.244839781676826,2.62716328884093,1.91745069397261,1.49435420139692,1.14901977778599,0.420104479816267,0.384356266482216,0.122728110046285,0.404923589545374
10578,-0.523413340534807,1.06955711674133,0.905112031175609,0.596585550119086,0.56360346916358,0.357941984583601,-0.0565829935319275,-0.379939477449289,-1.1188251631842
3017,-0.626810276714544,2.08681294269198,1.83741367967123,1.37453588984861,1.19573477204309,0.0298902142268522,-0.609906366879459,-0.37825020650628,0.299558565890255
1915,-1.17574217623007,1.59705612713393,1.53055032499279,1.08218579829315,1.15525979453368,-0.0796973562406489,-1.08221482279459,-0.438048642710783,-0.102096485296435
4050,-1.45604222971278,0.0984916054472453,-1.35796684328257,-1.41613436098783,-2.02075412226702,-0.679300455019911,-0.187034207747089,0.0138930155310391,-0.219808718876266
6877,0.654893958801939,-1.93269391370365,-1.03895819561772,0.134001254826144,0.131580009892776,0.078194503508831,-0.698713259631762,-0.727535538339549,0.462768430008062
60,-1.50107244593989,0.948009048208636,1.26900149630934,0.437243597185341,0.599386072172157,-0.239691296408821,-0.797420875260283,-0.481267660300883,-1.00315907286555
8367,-0.934075419165285,1.66796139398486,0.996802945107053,0.91919301223073,0.399992977988569,-0.433187243783961,0.842622133190412,0.278070678210835,0.222617940925167
9235,-0.777512132983203,1.06806550017494,1.06075657834954,0.511545963828642,0.555664097602408,0.394576658883226,-0.058442595086909,0.0316951957668543,0.37677706183422
3187,-1.47916370640683,1.21533398327986,0.938221724127228,1.01240733635383,0.559910696571322,-0.732611652003575,-0.655707222444947,-0.162265385255726,-0.1627311597311
969,-1.04637107938868,1.36892808093358,1.12625097482298,1.05192473721446,0.760144667750156,-1.21309766748048,-0.222822457066233,-0.558535289026663,-0.0445627208187993
9516,-1.1872697863505,1.63458248206424,1.23618469133151,0.912352539780964,0.411019548362277,-0.644939483063916,0.202456231975142,0.53298464979196,0.185434877431042
6210,-1.2176191136539,1.35825786932564,1.27816160773909,0.366015925591176,0.688041376771835,-0.336271208577015,-0.0574386671913976,0.0170095702073825,0.17354678651316
1958,-1.42030933982859,0.081583013997184,0.465221106868354,0.468674032179127,-0.172345976747765,-2.4598706150614,0.20443107474193,0.23488957304738,0.472122177887542
2999,-0.334587391037268,1.06719035387412,1.20672118092828,0.745931228049549,0.542511133584713,0.590997158353741,-0.295038804147829,-0.14696505163154,-0.00430927812551474
3001,-0.377122825046762,0.384665226438603,0.243444305195951,0.0974479854908274,-0.0947080366846205,0.989929034770265,-0.388904145523072,-0.169923175052568,-0.280537402355845
3726,-0.685630110685668,2.04929226631135,1.11728294863259,0.902312124884293,0.0547427528899966,-1.3401919479596,-0.474657272310951,-0.398145993867747,-0.318687080133874
7128,-0.635655617016242,1.39782499915727,1.18252391877002,0.943269836229669,0.626166604514978,-1.30500385929299,0.0576213242394577,-0.0446170949603939,0.579081361222375
6152,-1.07517234895037,1.77052513555973,1.37860232680461,0.929148011642509,0.775489988944297,-0.310237555106765,-0.683575532149444,-0.471083022960962,-2.76743401699746
